PDB_ID,Method,Resolution
10GS,X-RAY DIFFRACTION,2.2
11GS,X-RAY DIFFRACTION,2.3
12GS,X-RAY DIFFRACTION,2.1
13GS,X-RAY DIFFRACTION,1.9
16GS,X-RAY DIFFRACTION,1.9
17GS,X-RAY DIFFRACTION,1.9
18GS,X-RAY DIFFRACTION,1.9
19GS,X-RAY DIFFRACTION,1.9
1A00,X-RAY DIFFRACTION,2.0
1A01,X-RAY DIFFRACTION,1.8
1A02,X-RAY DIFFRACTION,2.7
1A07,X-RAY DIFFRACTION,2.2
1A08,X-RAY DIFFRACTION,2.2
1A09,X-RAY DIFFRACTION,2.0
1A0L,X-RAY DIFFRACTION,3.0
1A0U,X-RAY DIFFRACTION,2.14
1A0Z,X-RAY DIFFRACTION,2.0
1A12,X-RAY DIFFRACTION,1.7
1A15,X-RAY DIFFRACTION,2.2
1A1A,X-RAY DIFFRACTION,2.0
1A1B,X-RAY DIFFRACTION,2.2
1A1C,X-RAY DIFFRACTION,2.4
1A1E,X-RAY DIFFRACTION,2.2
1A1M,X-RAY DIFFRACTION,2.3
1A1N,X-RAY DIFFRACTION,2.0
1A1O,X-RAY DIFFRACTION,2.3
1A1U,SOLUTION NMR,N/A
1A22,X-RAY DIFFRACTION,2.6
1A2C,X-RAY DIFFRACTION,2.1
1A31,X-RAY DIFFRACTION,2.1
1A35,X-RAY DIFFRACTION,2.5
1A36,X-RAY DIFFRACTION,2.8
1A3B,X-RAY DIFFRACTION,1.8
1A3E,X-RAY DIFFRACTION,1.85
1A3N,X-RAY DIFFRACTION,1.8
1A3O,X-RAY DIFFRACTION,1.8
1A3Q,X-RAY DIFFRACTION,2.1
1A46,X-RAY DIFFRACTION,2.12
1A4I,X-RAY DIFFRACTION,1.5
1A4R,X-RAY DIFFRACTION,2.5
1A4W,X-RAY DIFFRACTION,1.8
1A4Y,X-RAY DIFFRACTION,2.0
1A52,X-RAY DIFFRACTION,2.8
1A5G,X-RAY DIFFRACTION,2.1
1A61,X-RAY DIFFRACTION,2.2
1A6A,X-RAY DIFFRACTION,2.75
1A6Q,X-RAY DIFFRACTION,2.0
1A6Z,X-RAY DIFFRACTION,2.6
1A7A,X-RAY DIFFRACTION,2.8
1A7F,SOLUTION NMR,N/A
1A7X,X-RAY DIFFRACTION,2.0
1A81,X-RAY DIFFRACTION,3.0
1A8J,X-RAY DIFFRACTION,2.7
1A8M,X-RAY DIFFRACTION,2.3
1A9B,X-RAY DIFFRACTION,3.2
1A9E,X-RAY DIFFRACTION,2.5
1A9N,X-RAY DIFFRACTION,2.38
1A9W,X-RAY DIFFRACTION,2.9
1AAP,X-RAY DIFFRACTION,N/A
1ABI,X-RAY DIFFRACTION,N/A
1ABJ,X-RAY DIFFRACTION,N/A
1ABW,X-RAY DIFFRACTION,2.0
1ABY,X-RAY DIFFRACTION,2.6
1AD0,X-RAY DIFFRACTION,2.5
1AD5,X-RAY DIFFRACTION,2.6
1AD8,X-RAY DIFFRACTION,2.0
1AD9,X-RAY DIFFRACTION,2.8
1ADQ,X-RAY DIFFRACTION,3.15
1AE8,X-RAY DIFFRACTION,2.0
1AFE,X-RAY DIFFRACTION,2.0
1AFO,SOLUTION NMR,N/A
1AGB,X-RAY DIFFRACTION,2.2
1AGC,X-RAY DIFFRACTION,2.1
1AGD,X-RAY DIFFRACTION,2.05
1AGE,X-RAY DIFFRACTION,2.3
1AGF,X-RAY DIFFRACTION,2.2
1AGN,X-RAY DIFFRACTION,N/A
1AGW,X-RAY DIFFRACTION,2.4
1AHT,X-RAY DIFFRACTION,N/A
1AHW,X-RAY DIFFRACTION,3.0
1AI0,SOLUTION NMR,N/A
1AI8,X-RAY DIFFRACTION,1.85
1AII,X-RAY DIFFRACTION,1.95
1AIX,X-RAY DIFFRACTION,2.1
1AIY,SOLUTION NMR,N/A
1AJ7,X-RAY DIFFRACTION,2.1
1AJ9,X-RAY DIFFRACTION,2.2
1AK4,X-RAY DIFFRACTION,2.36
1AKJ,X-RAY DIFFRACTION,2.65
1AM4,X-RAY DIFFRACTION,2.7
1AM9,X-RAY DIFFRACTION,2.3
1AN4,X-RAY DIFFRACTION,2.9
1ANT,X-RAY DIFFRACTION,N/A
1ANW,X-RAY DIFFRACTION,N/A
