PDB_ID,Method,Resolution
104L,X-RAY DIFFRACTION,N/A
137L,X-RAY DIFFRACTION,N/A
150L,X-RAY DIFFRACTION,N/A
167L,X-RAY DIFFRACTION,N/A
168L,X-RAY DIFFRACTION,N/A
169L,X-RAY DIFFRACTION,N/A
174L,X-RAY DIFFRACTION,2.3
175L,X-RAY DIFFRACTION,N/A
1A0I,X-RAY DIFFRACTION,2.6
1A14,X-RAY DIFFRACTION,2.5
1A1M,X-RAY DIFFRACTION,2.3
1A1N,X-RAY DIFFRACTION,2.0
1A1O,X-RAY DIFFRACTION,2.3
1A1R,X-RAY DIFFRACTION,2.5
1A1T,SOLUTION NMR,N/A
1A30,X-RAY DIFFRACTION,2.0
1A4G,X-RAY DIFFRACTION,2.2
1A4Q,X-RAY DIFFRACTION,1.9
1A6C,X-RAY DIFFRACTION,3.5
1A8G,X-RAY DIFFRACTION,2.5
1A8K,X-RAY DIFFRACTION,2.0
1A92,X-RAY DIFFRACTION,1.8
1A94,X-RAY DIFFRACTION,2.0
1A9M,X-RAY DIFFRACTION,2.3
1AA7,X-RAY DIFFRACTION,2.08
1AAQ,X-RAY DIFFRACTION,N/A
1AAZ,X-RAY DIFFRACTION,N/A
1ACY,X-RAY DIFFRACTION,N/A
1AE9,X-RAY DIFFRACTION,1.9
1AFV,X-RAY DIFFRACTION,3.0
1AGB,X-RAY DIFFRACTION,2.2
1AGC,X-RAY DIFFRACTION,2.1
1AGD,X-RAY DIFFRACTION,2.05
1AGE,X-RAY DIFFRACTION,2.3
1AGF,X-RAY DIFFRACTION,2.2
1AHS,X-RAY DIFFRACTION,2.3
1AI1,X-RAY DIFFRACTION,2.8
1AID,X-RAY DIFFRACTION,2.2
1AIH,X-RAY DIFFRACTION,2.7
1AJV,X-RAY DIFFRACTION,2.0
1AJX,X-RAY DIFFRACTION,2.0
1AK4,X-RAY DIFFRACTION,2.36
1AKJ,X-RAY DIFFRACTION,2.65
1AL0,X-RAY DIFFRACTION,3.5
1AL2,X-RAY DIFFRACTION,2.9
1AM7,X-RAY DIFFRACTION,2.3
1AO7,X-RAY DIFFRACTION,2.6
1AQ3,X-RAY DIFFRACTION,2.8
1AQ4,X-RAY DIFFRACTION,3.0
1AR6,X-RAY DIFFRACTION,2.9
1AR7,X-RAY DIFFRACTION,2.9
1AR8,X-RAY DIFFRACTION,2.9
1AR9,X-RAY DIFFRACTION,2.9
1ARO,X-RAY DIFFRACTION,2.8
1ARQ,SOLUTION NMR,N/A
1ARR,SOLUTION NMR,N/A
1ASJ,X-RAY DIFFRACTION,2.9
1AT3,X-RAY DIFFRACTION,2.5
1AUY,X-RAY DIFFRACTION,3.0
1AVQ,X-RAY DIFFRACTION,2.4
1AVY,X-RAY DIFFRACTION,1.85
1AVZ,X-RAY DIFFRACTION,3.0
1AXA,X-RAY DIFFRACTION,2.0
1B28,SOLUTION NMR,N/A
1B35,X-RAY DIFFRACTION,2.4
1B3T,X-RAY DIFFRACTION,2.1
1B49,X-RAY DIFFRACTION,2.3
1B5D,X-RAY DIFFRACTION,2.2
1B5E,X-RAY DIFFRACTION,1.6
1B6J,X-RAY DIFFRACTION,1.85
1B6K,X-RAY DIFFRACTION,1.85
1B6L,X-RAY DIFFRACTION,1.75
1B6M,X-RAY DIFFRACTION,1.76
1B6P,X-RAY DIFFRACTION,2.0
1B77,X-RAY DIFFRACTION,2.1
1B8H,X-RAY DIFFRACTION,3.0
1BAI,X-RAY DIFFRACTION,2.4
1BAZ,X-RAY DIFFRACTION,1.9
1BBT,X-RAY DIFFRACTION,N/A
1BCM,X-RAY DIFFRACTION,2.7
1BCO,X-RAY DIFFRACTION,2.4
1BD2,X-RAY DIFFRACTION,2.5
1BDL,X-RAY DIFFRACTION,2.8
1BDQ,X-RAY DIFFRACTION,2.5
1BDR,X-RAY DIFFRACTION,2.5
1BDT,X-RAY DIFFRACTION,2.5
1BDV,X-RAY DIFFRACTION,2.8
1BI4,X-RAY DIFFRACTION,2.2
1BIS,X-RAY DIFFRACTION,1.95
